word,translation,ipa,example,exampleTranslation,level,topic
begin — began — begun,начинать(ся),/bɪˈgɪn/,The film begins at eight.,Фильм начинается в восемь.,A1,Хобби и спорт
beginner,"начинающий, новичок",/bɪˈgɪnər/,She is a beginner at chess.,Она новичок в шахматах,A2,Учеба
beginning,начало,/bɪˈgɪnɪŋ/,At the beginning of the year.,В начале года.,A2,Время
behind,"за, позади",/bɪˈhaɪnd/,The garden is behind the house.,Сад находится за домом,A1,Служебные слова
believe,верить (чему-то),/bɪˈliv/,I believe you.,Я верю тебе,A2,Эмоции
belong to somebody,принадлежать кому-то,/bɪˈlɔŋ tɪ ˈsəmˌbɑdi/,This book belongs to me.,Эта книга принадлежит мне,A2,Служебные слова
below,"ниже, под",/bɪˈloʊ/,See the note below.,Смотри примечание ниже,A1,Служебные слова
belt,ремень,/bɛlt/,He wears a black belt.,У него чёрный ремень,A2,Одежда
best,лучше всего,/bɛst/,I like this one best.,Этот мне нравится больше всех,A1,Описания
best,лучший,/bɛst/,This is the best day!,Это лучший день!,A1,Описания
best wishes,наилучшие пожелания,/bɛst ˈwɪʃɪz/,Best wishes on your birthday!,Наилучшие пожелания в день рождения!,A2,Общение
better,лучше (качество),/ˈbɛtər/,This pen is better.,Эта ручка лучше,A1,Описания
better,лучше (о здоровье),/ˈbɛtər/,I feel better today.,Мне сегодня лучше,A1,Тело и здоровье
between,между (время),/bɪtˈwin/,Come between five and six.,Приходи между пятью и шестью,A1,Служебные слова
between,между,/bɪtˈwin/,Sit between us.,Сядь между нами,A1,Служебные слова
between,между (участвовать),/bɪtˈwin/,The game is between two teams.,Игра между двумя командами,A1,Служебные слова
between,между (количество),/bɪtˈwin/,The price is between $10 and $20.,Цена от 10 до 20 долларов,A2,Описания
bicycle,велосипед,/ˈbaɪsɪkəl/,I ride a bicycle every day.,Я езжу на велосипеде каждый день,A2,Транспорт
big,большой,/bɪg/,I have a big family.,У меня большая семья,A1,Описания
big,"важный, большой",/bɪg/,This is a big problem.,Это большая проблема,A2,Описания
bike,велосипед,/baɪk/,I ride my bike to work.,Я езжу на работу на велосипеде,A1,Транспорт
bill,счёт (к оплате),/bɪl/,"The bill, please.","Счёт, пожалуйста.",A2,Деньги и работа
biology,биология,/baɪˈɑləʤi/,Biology is interesting.,Биология интересна,A2,Учеба
bird,птица,/bərd/,The bird is singing.,Птица поёт,A1,Природа
birth,рождение,/bərθ/,The birth was easy.,Роды были лёгкими,A2,Тело и здоровье
birthday,день рождения,/ˈbərθˌdeɪ/,My birthday is in July.,Мой день рождения в июле,A1,Общение
bite,"кусок, укус",/bɑɪt/,She took a bite of her pizza,Она откусила кусочек пиццы.,B2,Еда
bitter,горький на вкус,/ˈbɪt̬.ər/,The medicine had a bitter taste.,Лекарство было горьким на вкус.,B1,Еда
black,темнокожий,/blæk/,He is a black actor.,Он чернокожий актер.,A2,Люди
black,чёрный цвет,/blæk/,I like black.,Мне нравится чёрный,A2,Описания
blackboard,школьная доска,/ˈblækˌbɔrd/,Write on the blackboard.,Пишите на доске,A2,Учеба
bland,"пресный, безвкусный",/blænd/,The food was bland and had no flavor.,Еда была пресной и не имела вкуса.,C2,Еда
blanket,одеяло,/ˈblæŋkɪt/,I need a warm blanket.,Мне нужно тёплое одеяло.,A2,Дом
block,квартал,/blɑk/,The shop is two blocks away.,Магазин в двух кварталах отсюда,A2,Места
blond,"блондин, светловолосый",/blɑnd/,She has blond hair.,У нее светлые волосы,A2,Люди
blood,кровь,/bləd/,I saw blood on his hand.,Я увидел кровь на его руке,A2,Тело и здоровье
blouse,блузка,/blaʊs/,Her blouse is white.,Её блузка белая,A1,Одежда
blue,синий,/bluː/,The sky is blue.,Небо голубое,A1,Цвета
board,доска (школьная),/bɔrd/,Write on the board.,Пиши на доске,A1,Учеба
board,доска объявлений,/bɔrd/,Check the notice board.,Проверь доску объявлений.,A2,Дом
board game,настольная игра,/bɔrd geɪm/,We played a board game.,Мы играли в настольную игру,A2,Хобби и спорт
boat,лодка,/boʊt/,We went on a boat.,Мы поехали на лодке,A1,Транспорт
body,тело,/ˈbɑdi/,Exercise is good for the body.,Упражнения полезны для тела,A1,Тело и здоровье
body,тело (мёртвое),/ˈbɑdi/,The police found the body.,Полиция нашла тело,A2,Тело и здоровье
boil,"варить, кипятить",/bɔɪl/,Boil the potatoes until soft,Варите картофель до мягкости.,B1,Еда
boiled,варёный,/bɔɪld/,I usually have two hard-boiled eggs for breakfast.,Я обычно ем два яйца вкрутую на завтрак.,B1,Еда
book,книга (для чтения),/bʊk/,I read a book every night.,Я читаю книгу каждый вечер.,A1,Хобби и спорт
bookcase,книжный шкаф,/ˈbʊkˌkeɪs/,The books are in the bookcase.,Книги в книжном шкафу.,A1,Дом
bookshelf,книжная полка,/ˈbʊkˌʃɛlf/,The bookshelf is full of books.,Книжная полка полна книг.,A2,Дом
bookstore,книжный магазин,/ˈbʊkˌstɔr/,I work at a bookstore.,Я работаю в книжном магазине,A1,Покупки
boot,"ботинок, сапог",/but/,I need new boots for winter.,Мне нужны новые ботинки на зиму,A1,Одежда
boring,скучный,/ˈbɔrɪŋ/,This movie is boring.,Этот фильм скучный,A1,Эмоции
borrow,"одалживать, брать в долг",/ˈbɑˌroʊ/,Can I borrow some cash from you?,Могу я занять у Вас немного наличных?,A2,Деньги и работа
boss,"начальник, босс",/bɔs/,My boss is kind.,Мой начальник добрый,A2,Профессия
both,оба,/boʊθ/,Both boys are smart.,Оба мальчика умные,A1,Описания
bother,"беспокоить, надоедать",/ˈbɑðər/,Don't bother me now.,Не беспокой меня сейчас,A2,Эмоции
bottle,бутылка,/ˈbɑt̬.əl/,"Could I have a bottle of water, please?","Можно мне бутылку воды, пожалуйста?",A2,Еда
bottom,"нижняя часть, дно",/ˈbɑtəm/,Look at the bottom of the page.,Посмотрите внизу страницы,A1,Описания
bowl,"миска, тарелка",/boʊl/,"I'd like a bowl of soup, please.","Тарелку супа, пожалуйста.",A2,Еда
box,коробка,/bɑks/,Put the toys in the box.,Положи игрушки в коробку,A1,Покупки
box,"клетка, поле (для ввода)",/bɑks/,Put an X in the box.,Поставь Х в клеточку,A2,Учеба
boy,мальчик,/bɔɪ/,The boy is playing.,Мальчик играет.,A1,Люди
boyfriend,"парень, бойфренд",/ˈbɔɪˌfrɛnd/,She has a new boyfriend.,У неё новый парень,A2,Люди
bracelet,браслет,/ˈbreɪslət/,She has a gold bracelet.,У неё золотой браслет,A2,Одежда
brain,мозг,/breɪn/,The brain is very important.,Мозг очень важен,A2,Тело и здоровье
bread,хлеб,/bred/,Could you pass me a slice of bread?,"Передай, пожалуйста, ломтик хлеба.",A1,Еда
break,перерыв,/breɪk/,Let's take a break.,Давай сделаем перерыв.,A2,Время
break — broke — broken,ломаться,/breɪk/,My phone broke.,Мой телефон сломался.,A2,Действия
break your arm,сломать руку,/breɪk jʊr ɑrm/,Don't break your arm!,Не сломай руку!,A2,Тело и здоровье
break your leg,сломать ногу,/breɪk jʊr lɛg/,She might break her leg.,Она может сломать ногу,A2,Тело и здоровье
breakfast,завтрак,/ˈbrɛkfəst/,I had breakfast at 8.,Я позавтракал в 8.,A1,Еда
bridge,мост,/brɪʤ/,The bridge is very old.,Мост очень старый,A2,Места
bright,яркий (цвет),/braɪt/,She wears bright colors.,Она носит яркие цвета,A2,Описания
bring — brought — brought,"приносить, приводить",/brɪŋ/,Bring your book.,Принеси свою книгу.,A2,Действия
bring back something or bring something back,принести обратно,/brɪŋ bæk ˈsəmθɪŋ ər brɪŋ ˈsəmθɪŋ bæk/,Bring back the book.,Верни книгу,A2,Фразовые глаголы
broccoli,брокколи,/ˈbrɑk.li/,I had pasta with broccoli and tomatoes,Я ел пасту с брокколи и помидорами.,B1,Еда
broken,сломанный,/ˈbroʊkən/,The cup is broken.,Чашка разбита,A2,Описания
brother,брат,/ˈbrəðər/,My brother is tall.,Мой брат высокий,A1,Семья
brown,коричневый цвет,/braʊn/,Brown suits you.,Коричневый тебе идёт,A2,Описания
brush,"щётка, кисть",/brəʃ/,Use a brush to paint.,"Используй кисть, чтобы красить.",A2,Дом
brush — brushed,"чистить щёткой, причёсывать",/brəʃ/,Brush your teeth.,Почисти зубы.,A2,Действия
build — built — built,строить,/bɪld/,They build houses.,Они строят дома.,A2,Действия
building,здание,/ˈbɪldɪŋ/,This is a tall building.,Это высокое здание,A2,Места
bun,булочка,/bʌn/,She baked cinnamon buns for breakfast.,Она испекла булочки с корицей на завтрак.,B2,Еда
burger,бургер,/ˈbɜr.gər/,A burger and French fries please.,"Мне, пожалуйста, бургер и картошку фри.",A2,Еда
burn,"пригорать, сжечь",/bɜrn/,Check the pizza - I think it's burning!.,"Проверь пиццу — кажется, она горит!",B1,Еда
bus,автобус,/bəs/,I take the bus to school.,Я еду в школу на автобусе,A1,Транспорт
bus station,автовокзал,/bəs ˈsteɪʃən/,Meet me at the bus station.,Встретимся на автовокзале,A2,Транспорт
bus stop,автобусная остановка,/bəs stɑp/,The bus stop is near.,Автобусная остановка рядом,A2,Транспорт
business,бизнес,/ˈbɪznɪs/,My father has a small business.,У моего отца маленький бизнес,A1,Покупки
business,"фирма, предприятие",/ˈbɪznɪs/,She owns a small business.,Она владеет мини-бизнесом.,A2,Бизнес
businessman,бизнесмен,/ˈbɪznɪsˌmæn/,He is a successful businessman.,Он успешный бизнесмен,A2,Профессия
businesswoman,бизнес-леди,/ˈbɪznɪsˌwʊmən/,She is a busy businesswoman.,Она занятая бизнес-леди,A2,Профессия
busy,занятой (человек),/ˈbɪzi/,I am busy today.,Я сегодня занят.,A1,Деньги и работа
busy,оживлённый (место),/ˈbɪzi/,This is a busy street.,Это оживлённая улица,A1,Описания
busy,занятой (о времени),/ˈbɪzi/,I'm busy on Friday.,Я занят в пятницу.,A2,Время
but,но,/bət/,"I am tired, but I am happy.","Я устал, но я счастлив",A1,Служебные слова
butter,масло сливочное,/ˈbʌt̬.ər/,"Pass me the butter, please.","Передай мне масло, пожалуйста.",A1,Еда
buy,покупать,/baɪ/,I want to buy a new phone.,Я хочу купить новый телефон,A1,Покупки
by,"посредством, при помощи",/baɪ/,"By doing that, you help.","Поступая так, ты помогаешь",A2,Служебные слова
by the way,кстати,/baɪ ðə weɪ/,"By the way, where is John?","Кстати, где Джон?",A2,Общение
bye,пока,/baɪ/,"Bye, see you tomorrow!","Пока, увидимся завтра!",A1,Общение
cabbage,капуста,/ˈkæb.ɪdʒ/,Please buy a cabbage at the market.,"Пожалуйста, купи капусту на рынке.",B1,Еда
cabinet,"шкафчик, тумбочка",/ˈkæbənət/,The cups are in the cabinet.,Чашки в шкафу.,A2,Дом
cacophony,какофония,/kəˈkɒfəni/,A cacophony of voices.,,C2,Искусство
café,кафе,/kæˈfeɪ/,We met at a small café.,Мы встретились в маленьком кафе.,A1,Еда
cafeteria,"кафетерий, столовая",/ˌkæf.əˈtɪr.iː.ə/,We had lunch at the school cafeteria.,Мы пообедали в школьной столовой.,A2,Еда
